Crossnumber,Repeat_Pollination_Date,Location
NM201910_(136560C3/161584),2019-10-31,Arusha
NM201910_(190442C1/161472),2019-11-01,Arusha
NM201910_(153086C2/161480),2019-11-04,Arusha
NM201911_(136573C3/161541),2019-11-05,Arusha
NM201911_(153023C2/161480),2019-11-05,Arusha
NM201911_(136573C3/161541),2019-11-06,Arusha
NM201911_(191117C1/161480),2019-11-08,Arusha
NM201910_(136560C3/161584),2019-11-11,Arusha
NM201911_(152695C2/161480),2019-11-13,Arusha
NM201911_(136649C2/161421),2019-11-12,Arusha
NM201911_(153162C2/161541),2019-11-14,Arusha
NM201911_(136450C3/161480),2019-11-18,Arusha
NM201911_(153162C2/161541),2019-11-19,Arusha
NM201911_(136450C3/161480),2019-11-20,Arusha
NM201911_(136594C2/161541),2019-11-21,Arusha
NM201911_(136594C2/161541),2019-11-22,Arusha
NM201911_(136636C3/161421),2019-11-28,Arusha
NM201911_(136327C3/161480),2019-12-02,Arusha
NM201911_(153162C2/161541),2019-11-15,Arusha
NM201911_(136327C3/161480),2019-12-03,Arusha
NM201911_(136327C3/161480),2019-12-04,Arusha
NM201912_(136368C2/161584),2019-12-10,Arusha
NM201912_(136368C2/161584),2019-12-11,Arusha
NM201912_(190245C1/161440),2019-12-24,Arusha
NM201912_(136652C3/161411),2019-12-27,Arusha
NM201912_(190245C1/161440),2019-12-30,Arusha
NM201912_(190983C1/161554),2019-12-31,Arusha
NM202001_(190284C1/161411),2020-01-03,Arusha
NM201912_(152376C2/161457),2020-01-06,Arusha
NM202001_(152427C2/161554),2020-01-09,Arusha
NM202001_(153030C2/161571),2020-01-09,Arusha
NM202001_(152945C2/161567),2020-01-10,Arusha
NM202001_(136644C3/161582),2020-01-13,Arusha
NM202001_(136644C3/161582),2020-01-14,Arusha
NM202001_(136493C3/161480),2020-01-15,Arusha
NM202001_(136493C3/161480),2020-01-16,Arusha
NM202001_(136493C3/161480),2020-01-17,Arusha
NM202001_(136493C3/161480),2020-01-20,Arusha
NM202001_(152744C2/161480),2020-01-21,Arusha
NM202001_(153162C2/161468),2020-01-22,Arusha
NM202001_(153162C2/161468),2020-01-23,Arusha
NM202001_(153162C2/161468),2020-01-24,Arusha
NM202001_(136359C2/161468),2020-01-28,Arusha
NM202001_(136289C3/161487),2020-02-03,Arusha
NM202001_(136289C3/161487),2020-02-04,Arusha
NM202002_(136665C3/161541),2020-02-06,Arusha
NM202002_(136665C3/161541),2020-02-07,Arusha
NM202001_(136289C3/161487),2020-02-07,Arusha
NM202002_(152612C1/161536),2020-02-10,Arusha
NM202002_(152892C2/161536),2020-02-10,Arusha
NM202002_(152612C1/161536),2020-02-11,Arusha
NM202002_(152612C1/161536),2020-02-12,Arusha
NM202002_(152612C1/161536),2020-02-13,Arusha
NM202002_(152612C1/161536),2020-02-14,Arusha
NM202002_(136467C3/161480),2020-02-17,Arusha
NM202002_(136721C3/161477),2020-02-18,Arusha
NM202002_(136596C3/161487),2020-02-20,Arusha
NM202002_(152740C2/161584),2020-02-21,Arusha
NM202002_(136596C3/161487),2020-02-24,Arusha
NM202002_(136533C3/161487),2020-02-25,Arusha
NM202002_(136533C3/161487),2020-02-26,Arusha
NM202002_(136613C3/161588),2020-03-02,Arusha
NM202003_(152680C2/161536),2020-03-04,Arusha
NM202003_(136682C3/161584),2020-03-11,Arusha
NM202003_(136682C3/161584),2020-03-12,Arusha
NM202003_(153118C2/161541),2020-03-13,Arusha
NM202003_(136462C3/161405),2020-03-23,Arusha
NM202003_(136512C2/161480),2020-03-24,Arusha
NM202003_(136661C3/161541),2020-03-25,Arusha
NM202003_(136661C3/161541),2020-03-26,Arusha
NM202003_(190383C1/161554),2020-03-27,Arusha
NM202005_(190356C1/161478),2020-05-21,Arusha
NM202005_(153055C2/161412),2020-05-22,Arusha
NM202005_(152850C2/161460),2020-05-27,Arusha
NM202005_(136441C2/161595),2020-05-28,Arusha
NM202005_(190356C1/161478),2020-06-01,Arusha
NM202005_(190260C2/161414),2020-06-04,Arusha
NM202006_(190222C1/161554),2020-06-08,Arusha
NM202006_(190244C2/161447),2020-06-10,Arusha
NM202006_(190244C2/161447),2020-06-11,Arusha
NM202006_(152612C2/161414),2020-06-17,Arusha
NM202006_(152612C2/161414),2020-06-18,Arusha
NM202006_(152612C2/161414),2020-06-19,Arusha
NM202006_(136529C3/161554),2020-06-22,Arusha
NM202006_(190209C1/161548),2020-06-30,Arusha
NM202006_(190299C2/161536),2020-07-02,Arusha
NM202007_(190325C1/161554),2020-07-03,Arusha
NM202007_(152563C2/161433),2020-07-20,Arusha
NM202007_(153095C2/161522),2020-07-21,Arusha
NM202007_(152491C2/161522),2020-07-24,Arusha
NM202007_(190452C1/161554),2020-07-27,Arusha
NM202007_(190452C1/161554),2020-07-28,Arusha
NM201903_(153129C1/161582),2019-03-19,Arusha
NM201903_(152700C1/161582),2019-03-19,Arusha
NM201903_(136457C2/161582),2019-03-20,Arusha
NM201903_(136457C2/161582),2019-03-22,Arusha
NM201903_(153052C1/161582),2019-03-25,Arusha
NM201903_(136315C2/161582),2019-03-26,Arusha
NM201903_(153098C1/161582),2019-03-28,Arusha
NM201903_(152408C1/161582),2019-03-29,Arusha
NM201903_(153107C1/161468),2019-04-01,Arusha
NM201904_(136459C2/161582),2019-04-04,Arusha
NM201903_(136465C2/161582),2019-04-03,Arusha
NM201904_(153016C1/161582),2019-04-05,Arusha
NM201904_(136647C2/136677),2019-04-09,Arusha
NM201904_(136647C2/136677),2019-04-10,Arusha
NM201904_(136408C3/161582),2019-04-11,Arusha
NM201904_(136610C2/161503),2019-04-12,Arusha
NM201904_(152994C1/161582),2019-04-12,Arusha
NM201904_(136507C3/161503),2019-04-15,Arusha
NM201904_(152680C1/161554),2019-04-15,Arusha
NM201904_(136640C2/136604),2019-04-17,Arusha
NM201904_(136584C2/136604),2019-04-18,Arusha
NM201904_(136450C2/136604),2019-04-19,Arusha
NM201904_(152662C1/136604),2019-04-24,Arusha
NM201904_(136707C2/136604),2019-04-25,Arusha
NM201904_(136717C2/161503),2019-04-26,Arusha
NM201904_(136523C2/161503),2019-04-29,Arusha
NM201904_(136324C2/161554),2019-04-30,Arusha
NM201904_(152681C1/161554),2019-04-30,Arusha
NM201904_(136324C2/161554),2019-05-01,Arusha
NM201904_(153109C1/161554),2019-05-01,Arusha
NM201904_(136324C2/161554),2019-05-02,Arusha
NM201904_(153154C1/161503),2019-05-02,Arusha
NM201904_(136424C2/161582),2019-05-03,Arusha
NM201905_(136414C2/161554),2019-05-07,Arusha
NM201905_(136468C2/161582),2019-05-08,Arusha
NM201905_(136468C2/161582),2019-05-10,Arusha
NM201905_(152905C1/161503),2019-05-14,Arusha
NM201905_(152905C1/161503),2019-05-15,Arusha
NM201905_(152848C1/161503),2019-05-17,Arusha
NM201905_(152848C1/161503),2019-05-20,Arusha
NM201905_(136567C2/161503),2019-05-21,Arusha
NM201905_(152508C1/161503),2019-05-21,Arusha
NM201905_(136567C2/161503),2019-05-22,Arusha
NM201905_(152910C1/161503),2019-05-28,Arusha
NM201905_(152910C1/161503),2019-05-29,Arusha
NM201905_(152533C1/161477),2019-05-31,Arusha
NM201905_(153004C1/161503),2019-06-03,Arusha
NM201905_(152954C1/161503),2019-06-04,Arusha
NM201905_(152954C1/161503),2019-06-06,Arusha
NM201906_(152568C1/161503),2019-06-07,Arusha
NM201906_(136389C2/161503),2019-06-10,Arusha
NM201906_(136389C2/161503),2019-06-11,Arusha
NM201906_(136389C2/161503),2019-06-13,Arusha
NM201906_(136551C2/161477),2019-06-14,Arusha
NM201906_(136551C2/161477),2019-06-17,Arusha
NM201906_(152904C1/161584),2019-06-18,Arusha
NM201906_(152740C1/161446),2019-06-19,Arusha
NM201906_(152877C1/161584),2019-06-20,Arusha
NM201906_(152740C1/161446),2019-06-21,Arusha
NM201906_(152395C1/161584),2019-06-25,Arusha
NM201906_(152877C1/161584),2019-06-26,Arusha
NM201906_(152725C1/161503),2019-06-27,Arusha
NM201906_(152364C1/161584),2019-06-28,Arusha
NM201906_(136385C2/161503),2019-07-01,Arusha
NM201906_(136385C2/161503),2019-07-02,Arusha
NM201906_(136385C2/161503),2019-07-04,Arusha
NM201907_(136661C2/161554),2019-07-05,Arusha
NM201907_(136487C3/161500),2019-07-09,Arusha
NM201907_(136661C2/161554),2019-07-10,Arusha
