contaminated,PlantletID,Contamination_Date,Location
3.0,SE202001_(162405C2/132466),2020-07-17,Sendusu
1.0,SE201911_(162926C2/132696)_1,2020-07-17,Sendusu
1.0,SE202001_(162666C2/132505)_1,2020-07-17,Sendusu
1.0,SE201910_(162363C2/132631)_2,2020-07-17,Sendusu
1.0,SE201910_(162373C2/132684)_94,2020-07-17,Sendusu
1.0,SE201912_(163338C2/132623)_18,2020-07-17,Sendusu
1.0,SE201910_(162373C2/132684)_97,2020-07-17,Sendusu
1.0,SE202001_(162660C2/132554),2020-07-17,Sendusu
3.0,SE202002_(163132C2/132396),2020-07-17,Sendusu
1.0,SE202001_(162405C2/132466),2020-07-17,Sendusu
1.0,SE201905_(162431C1/132332)_122,2020-07-28,Sendusu
4.0,SE201909_(162426C1/132660)_1,2020-07-28,Sendusu
3.0,SE201910_(162373C2/132684)_12,2020-07-28,Sendusu
2.0,SE202003_(163361C2/132554),2020-07-30,Sendusu
2.0,SE201910_(162373C2/132684)_12,2020-07-30,Sendusu
4.0,SE201910_(162373C2/132684)_36,2020-08-05,Sendusu
4.0,SE201910_(162369C1/132696)_1,2020-08-06,Sendusu
1.0,SE201912_(163078C1/132684)_2,2020-08-05,Sendusu
2.0,SE201910_(162373C2/132684)_92,2020-08-28,Sendusu
3.0,SE201910_(162947C2/132400)_3,2020-08-28,Sendusu
1.0,SE201912_(163375C2/132623)_1,2020-09-02,Sendusu
1.0,SE201912_(162377C2/132566)_54,2020-09-02,Sendusu
4.0,SE201910_(162373C2/132684)_28,2020-09-08,Sendusu
1.0,SE201910_(162448C1/132512)_9,2020-09-17,Sendusu
1.0,SE202001_(162405C2/132466)_70,2020-09-17,Sendusu
1.0,SE201910_(162370C1/132348)_27,2020-09-17,Sendusu
1.0,SE202001_(162405C2/132466)_83,2020-09-17,Sendusu
1.0,SE202002_(162353C2/132316)_22,2020-09-17,Sendusu
1.0,SE201910_(162373C2/132684)_9,2020-09-17,Sendusu
1.0,SE202002_(162494C2/132554)_6,2020-09-17,Sendusu
1.0,SE201910_(162373C2/132684)_99,2020-09-17,Sendusu
1.0,SE201910_(162496C2/132696)_9,2020-09-17,Sendusu
1.0,SE202002_(162353C2/132316)_17,2020-09-17,Sendusu
1.0,SE202002_(162353C2/132316)_18,2020-09-17,Sendusu
1.0,SE201912_(163338C2/132623)_17,2020-09-17,Sendusu
1.0,SE201911_(162449C2/132674)_5,2020-09-17,Sendusu
1.0,SE201910_(162363C2/132631)_1,2020-09-17,Sendusu
1.0,SE201912_(163338C2/132623)_20,2020-09-17,Sendusu
1.0,SE201910_(162370C1/132348)_29,2020-09-17,Sendusu
3.0,SE202004_(162370C2/132410),2020-09-21,Sendusu
,SE201910_(162373C2/132684)_31,2020-10-07,Sendusu
2.0,SE202001_(162405C2/132466)_2,2020-10-07,Sendusu
4.0,SE201908_(162485C2/132696)_23,2020-10-07,Sendusu
2.0,SE202004_(162381C2/132703),2020-10-12,Sendusu
3.0,SE202001_(162405C2/132466)_100,2020-10-12,Sendusu
4.0,SE201910_(162373C2/132684)_106,2020-10-12,Sendusu
3.0,SE201910_(162371C2/132696)_23,2020-10-13,Sendusu
2.0,SE201908_(163006C2/132684)_1,2020-10-13,Sendusu
2.0,SE202001_(162405C2/132466)_78,2020-10-13,Sendusu
4.0,SE201910_(162373C2/132684)_103,2020-10-15,Sendusu
1.0,SE202002_(162353C2/132316)_7,2020-10-15,Sendusu
1.0,SE202001_(162405C2/132466)_72,2020-10-15,Sendusu
1.0,SE202006_(162509C2/132696),2020-10-28,Sendusu
1.0,SE202004_(162381C2/132703)_53,2020-11-04,Sendusu
1.0,SE201911_(162350C1/132348)_18,2020-11-04,Sendusu
1.0,SE201910_(162448C1/132512)_12,2020-11-04,Sendusu
1.0,SE202003_(162497C2/132470)_1,2020-11-27,Sendusu
1.0,SE202004_(162381C2/132703)_54,2020-12-01,Sendusu
1.0,SE201905_(162431C1/132332)_44,2020-12-01,Sendusu
4.0,SE202004_(162381C2/132703)_3,2020-12-10,Sendusu
2.0,SE202005_(162687C2/132549)_7,2020-12-10,Sendusu
72.0,SE202007_(162459C2/132512),2020-12-21,Sendusu
15.0,SE202007_(162489C2/132537),2021-01-04,Sendusu
33.0,SE202007_(162459C2/132512),2021-01-04,Sendusu
3.0,SE202007_(162459C2/132512),2021-01-04,Sendusu
2.0,SE201911_(162350C1/132348)_14,2021-01-07,Sendusu
3.0,SE202003_(162642C1/132466)_1,2021-01-07,Sendusu
2.0,SE201912_(162377C2/132566)_2,2021-01-07,Sendusu
3.0,SE202004_(162381C2/132703)_55,2021-01-07,Sendusu
4.0,SE202002_(162353C2/132316)_23,2021-01-29,Sendusu
3.0,SE201905_(162431C1/132332)_31,2021-01-29,Sendusu
1.0,SE202007_(162414C2/132537)_62,2021-01-29,Sendusu
1.0,SE201903_(162357C1/132383)_65,2021-01-29,Sendusu
3.0,SE202007_(162459C2/132512),2021-01-29,Sendusu
1.0,SE202005_(162687C2/132549)_4,2021-01-29,Sendusu
