Location,Crossnumber,FemalePlotName,Mother,Cycle,Father,MalePlotName,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Number_of_Embryo_Rescued,Good_Seeds,Number_of_Embryo_Germinating,Germination_Date
Kawanda,SE202010_(244002C1/244010),IITA-Nakyetengu-r5-c32,IITA-Nakyetengu,1,2905,2905-r5-c31,2020-10-17 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244004C2/242996),Namande-r4-c47,Namande,2,2905,2905-R-1--C-24,2020-09-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244044C1/242999),365K-1-r1-c18,365K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-04 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244141C1/242999),1747K-1-r6-c4,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-07 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244170C1/242999),222K-1-r6-c10,222K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244173C1/242999),401K-1-r6-c26,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-26 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244191C1/242999),1747K-1-r4-c3,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-07 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244231C2/242999),1747K-1-r3-c3,1747K-1,2,AG201087-4,AG201087-4-R-7--C-22,2020-10-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244254C1/244322),Nakawere-r5-c39,Nakawere,1,2905,2905-r7-c31,2020-10-10 00:00:00+00:00,2021-01-24 21:00:00+00:00,,,,,,,
Kawanda,SE202010_(244290C1/242999),1747K-1-r1-c4,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244304C1/242999),222K-1-r3-c9,222K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-23 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244314C1/242996),Namande-r3-c46,Namande,1,2905,2905-R-1--C-24,2020-10-19 00:00:00+00:00,2020-12-30 21:00:00+00:00,2021-01-15 00:00:00+00:00,0.0,,,,,
Kawanda,SE202010_(244324C1/242999),401K-1-r3-c27,401K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-05 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244337C1/244322),Nakawere-r7-c38,Nakawere,1,2905,2905-r7-c31,2020-10-05 00:00:00+00:00,2020-12-30 21:00:00+00:00,2021-01-15 00:00:00+00:00,0.0,,,,,
Kawanda,SE202010_(244379C1/242999),222K-1-r6-c12,222K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-01 00:00:00+00:00,,,,,,,,
Kawanda,SE202010_(244384C1/242999),1747K-1-r3-c2,1747K-1,1,AG201087-4,AG201087-4-R-7--C-22,2020-10-16 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240009C1/242855),enz-r6-c3,ITC1354-Enzirabahima,1,2905,2905-R-1--C-25,2020-11-02 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240013C1/242875),enz-r3-c12,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-04 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240038C1/242875),enz-r7-c8,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240084C1/242875),enz-r1-c12,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-24 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240103C1/242875),enz-r3-c9,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-12 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240107C1/242875),enz-r3-c2,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-18 00:00:00+00:00,,,,,,,,
Kawanda,SE202011_(240130C1/242875),enz-r5-c10,ITC1354-Enzirabahima,1,2905,2905-R-2--C-30,2020-11-07 00:00:00+00:00,,,,,,,,
