FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
Entukura_14_Phase2_R4C6,Entukura,female,2018-11-19,Sendusu
Entukura_14_Phase1_R5C11,Entukura,female,2018-11-20,Sendusu
Nfuuka_14_Phase1_R13C6,Nfuuka,female,2018-11-20,Sendusu
Kabucuragye_14_Phase1_R20C2,Kabucuragye,female,2018-11-17,Sendusu
Tereza_14_Phase2_R17C2,Tereza,female,2018-11-21,Sendusu
Nfuuka_16_Phase3_R15C2,Nfuuka,female,2018-11-21,Sendusu
Enzirabahima_14_Phase1_R26C6,ITC1354,female,2018-11-24,Sendusu
Nakasabira_14_Phase1_R31C2,Nakasabira,female,2018-11-23,Sendusu
Kazirakwe_14_Phase1_R30C13,ITC1355,female,2018-11-23,Sendusu
Kazirakwe_14_Phase1_R28C17,ITC1355,female,2018-11-23,Sendusu
Tereza_14_Phase2_R17C1,Tereza,female,2018-11-24,Sendusu
Entukura_14_Phase1_R5C18,Entukura,female,2018-11-24,Sendusu
Kabucuragye_14_Phase1_R19C14,Kabucuragye,female,2018-11-24,Sendusu
Kabucuragye_14_Phase1_R20C16,Kabucuragye,female,2018-11-26,Sendusu
Tereza_14_Phase1_R17C4,Tereza,female,2018-11-26,Sendusu
Enzirabahima_14_Phase1_R25C6,ITC1354,female,2018-11-26,Sendusu
Tereza_14_Phase1_R17C4,Tereza,female,2018-11-26,Sendusu
Enzirabahima_14_Phase1_R25C6,ITC1354,female,2018-11-26,Sendusu
Tereza_16_Phase3_R18C1,Tereza,female,2018-11-26,Sendusu
Tereza_16_Phase3_R18C8,Tereza,female,2018-11-27,Sendusu
Kazirakwe_16_Phase3_R30C2,ITC1355,female,2018-11-26,Sendusu
25974S-17_14_R5P7,25974S-17,female,2018-11-24,Sendusu
Enzirabahima_14_Phase2_R25C3,ITC1354,female,2018-11-26,Sendusu
Tereza_14_Phase2_R17C1,Tereza,female,2018-11-26,Sendusu
Entukura_16_Phase3_R6C7,Entukura,female,2018-11-27,Sendusu
Tereza_14_Phase1_R17C10,Tereza,female,2018-11-28,Sendusu
Nakyetengu_14_Phase1_R8C1,IITA-Nakyetengu,female,2018-11-28,Sendusu
Nakyetengu_16_Phase3_R7C2,IITA-Nakyetengu,female,2018-12-04,Sendusu
Tereza_16_Phase3_R18C4,Tereza,female,2018-12-04,Sendusu
Enzirabahima_16_Phase3_R25C3,ITC1354,female,2018-12-06,Sendusu
Kazirakwe_16_Phase3_R28C1,ITC1355,female,2018-12-04,Sendusu
Kazirakwe_16_Phase3_R29C1,ITC1355,female,2018-12-01,Sendusu
Nakasabira_14_Phase2_R33C10,Nakasabira,female,2018-12-08,Sendusu
29364S-2_14_R12P1,29364S-2,female,2018-12-10,Sendusu
29275S-1_14_R8P3,29275S-1,female,2018-12-10,Sendusu
29275S-4_14_R1P6,29275S-4,female,2018-12-06,Sendusu
Nakasabira_14_Phase2_R32C1,Nakasabira,female,2018-12-07,Sendusu
Enzirabahima_14_Phase1_R26C15,ITC1354,female,2018-12-06,Sendusu
Enzirabahima_14_Phase1_R25C16,ITC1354,female,2018-12-06,Sendusu
Tereza_14_Phase2_R18C8,Tereza,female,2018-12-06,Sendusu
Nakyetengu_14_Phase2_R7C10,IITA-Nakyetengu,female,2018-12-03,Sendusu
Entukura_14_Phase1_R6C12,Entukura,female,2018-12-01,Sendusu
Entukura_14_Phase1_R5C7,Entukura,female,2018-12-03,Sendusu
Nakyetengu_14_Phase1_R8C2,IITA-Nakyetengu,female,2018-12-03,Sendusu
Entukura_14_Phase1_R4C11,Entukura,female,2018-12-01,Sendusu
Nfuuka_14_Phase1_R14C11,Nfuuka,female,2018-12-10,Sendusu
Nakasabira_14_Phase2_R31C9,Nakasabira,female,2018-12-10,Sendusu
Kabucuragye_14_Phase2_R20C6,Kabucuragye,female,2018-12-10,Sendusu
Kabucuragye_14_Phase2_R19C10,Kabucuragye,female,2018-12-01,Sendusu
Kazirakwe_16_Phase3_R28C9,ITC1355,female,2018-12-03,Sendusu
29364S-2_14_R12P1,29364S-2,female,2018-12-12,Sendusu
Nakyetengu_14_Phase1_R9C2,IITA-Nakyetengu,female,2018-12-11,Sendusu
Enzirabahima_16_Phase3_R26C10,ITC1354,female,2018-12-12,Sendusu
Nfuuka_14_Phase2_R14C5,Nfuuka,female,2018-12-14,Sendusu
Nakyetengu_16_Phase3_R7C1,IITA-Nakyetengu,female,2018-12-13,Sendusu
29275S-1_14_R8P4,29275S-1,female,2018-12-14,Sendusu
Nfuuka_14_Phase2_R14C5,Nfuuka,female,2018-12-14,Sendusu
Entukura_16_Phase3_R5C9,Entukura,female,2018-12-15,Sendusu
Kabucuragye_16_Phase3_R21C5,Kabucuragye,female,2018-12-15,Sendusu
Kabucuragye_16_Phase3_R21C1,Kabucuragye,female,2018-12-15,Sendusu
29364S-2_14_R12P2,29364S-2,female,2018-12-18,Sendusu
Nakyetengu_16_Phase3_R7C6,IITA-Nakyetengu,female,2018-12-18,Sendusu
25974S-17_14_R5P8,25974S-17,female,2018-12-18,Sendusu
Entukura_16_Phase3_R4C6,Entukura,female,2018-12-19,Sendusu
Kazirakwe_14_Phase2_R29C7,ITC1355,female,2018-12-19,Sendusu
Kazirakwe_14_Phase2_R29C8,ITC1355,female,2018-12-19,Sendusu
Entukura_14_Phase1_R5C14,Entukura,female,2018-12-19,Sendusu
Nfuuka_14_Phase1_R13C1,Nfuuka,female,2018-12-22,Sendusu
Kazirakwe_14_Phase2_R28C10,ITC1355,female,2018-12-22,Sendusu
Entukura_14_Phase1_R6C13,Entukura,female,2018-12-21,Sendusu
Nakasabira_14_Phase1_R33C3,Nakasabira,female,2018-12-22,Sendusu
Enzirabahima_14_Phase2_R25C5,ITC1354,female,2018-12-22,Sendusu
Enzirabahima_16_Phase3_R26C4,ITC1354,female,2018-12-22,Sendusu
29364S-2_14_R12P3,29364S-2,female,2018-12-24,Sendusu
Nakasabira_14_Phase2_R33C9,Nakasabira,female,2018-12-24,Sendusu
Nfuuka_14_Phase1_R14C8,Nfuuka,female,2018-12-25,Sendusu
Nakasabira_16_Phase3_R31C1,Nakasabira,female,2018-12-25,Sendusu
Nakasabira_14_Phase2_R33C9,Nakasabira,female,2018-12-25,Sendusu
Nfuuka_14_Phase2_R14C4,Nfuuka,female,2018-12-26,Sendusu
Nakyetengu_16_Phase3_R7C8,IITA-Nakyetengu,female,2018-12-26,Sendusu
Nakyetengu_16_Phase3_R8C6,IITA-Nakyetengu,female,2018-12-26,Sendusu
Kabucuragye_16_Phase3_R19C3,Kabucuragye,female,2018-12-26,Sendusu
Tereza_14_Phase1_R18C9,Tereza,female,2018-12-27,Sendusu
Kazirakwe_14_Phase2_R28C4,ITC1355,female,2018-12-27,Sendusu
29275S-4_14_R2P3,29275S-4,female,2018-12-27,Sendusu
Enzirabahima_14_Phase1_R25C5,ITC1354,female,2018-11-13,Sendusu
Nakasabira_14_Phase1_R32C10,Nakasabira,female,2018-11-13,Sendusu
Nakasabira_14_Phase2_R31C8,Nakasabira,female,2018-11-13,Sendusu
Nakasabira_14_Phase1_R31C8,Nakasabira,female,2018-11-02,Sendusu
Enzirabahima_14_Phase1_R25C18,ITC1354,female,2018-10-30,Sendusu
Entukura_14_Phase2_R4C9,Entukura,female,2018-10-30,Sendusu
Nakasabira_14_Phase1_R32C13,Nakasabira,female,2018-10-22,Sendusu
Nakyetengu_16_Phase3_R8C9,IITA-Nakyetengu,female,2018-10-22,Sendusu
Entukura_14_Phase1_R4C18,Entukura,female,2018-10-18,Sendusu
Nfuuka_14_Phase1_R14C12,Nfuuka,female,2018-10-16,Sendusu
Tereza_14_Phase1_R18C1,Tereza,female,2018-10-13,Sendusu
Enzirabahima_14_Phase1_R26C18,ITC1354,female,2018-10-15,Sendusu
Nakyetengu_14_Phase2_R9C10,IITA-Nakyetengu,female,2018-10-15,Sendusu
Entukura_14_Phase1_R4C2,Entukura,female,2019-01-04,Sendusu
Entukura_14_Phase1_R6C6,Entukura,female,2019-01-16,Sendusu
Nfuuka_14_Phase1_R15C2,Nfuuka,female,2019-01-15,Sendusu
Tereza_14_Phase1_R16C1,Tereza,female,2019-01-16,Sendusu
Tereza_14_Phase1_R18C10,Tereza,female,2019-01-13,Sendusu
Nfuuka_14_Phase1_R14C10,Nfuuka,female,2019-01-10,Sendusu
Nfuuka_14_Phase1_R13C11,Nfuuka,female,2019-01-13,Sendusu
Tereza_14_Phase1_R17C17,Tereza,female,2019-01-16,Sendusu
Tereza_14_Phase1_R18C11,Tereza,female,2019-01-16,Sendusu
Enzirabahima_14_Phase1_R27C8,ITC1354,female,2019-01-14,Sendusu
Enzirabahima_14_Phase1_R26C11,ITC1354,female,2019-01-16,Sendusu
Nakasabira_14_Phase1_R33C6,Nakasabira,female,2019-01-14,Sendusu
Enzirabahima_14_Phase1_R27C17,ITC1354,female,2019-01-13,Sendusu
Nakasabira_14_Phase2_R33C6,Nakasabira,female,2019-01-14,Sendusu
Entukura_16_Phase3_R6C6,Entukura,female,2019-01-13,Sendusu
Kazirakwe_16_Phase3_R28C6,ITC1355,female,2019-01-07,Sendusu
29364S-2_14_R11P2,29364S-2,female,2019-01-12,Sendusu
Tereza_14_Phase2_R16C1,Tereza,female,2019-01-16,Sendusu
Entukura_14_Phase2_R6C2,Entukura,female,2019-01-17,Sendusu
Entukura_14_Phase2_R6C7,Entukura,female,2019-01-14,Sendusu
Entukura_14_Phase1_R6C1,Entukura,female,2019-01-17,Sendusu
Tereza_14_Phase1_R18C2,Tereza,female,2019-01-17,Sendusu
Enzirabahima_14_Phase1_R26C3,ITC1354,female,2019-01-17,Sendusu
Tereza_14_Phase2_R16C9,Tereza,female,2019-01-18,Sendusu
Entukura_16_Phase3_R5C1,Entukura,female,2019-01-18,Sendusu
Entukura_14_Phase1_R6C4,Entukura,female,2019-01-19,Sendusu
Kabucuragye_14_Phase1_R19C8,Kabucuragye,female,2019-01-21,Sendusu
Enzirabahima_14_Phase1_R25C14,ITC1354,female,2019-01-21,Sendusu
Enzirabahima_14_Phase1_R27C15,ITC1354,female,2019-01-22,Sendusu
Entukura_16_Phase3_R4C7,Entukura,female,2019-01-22,Sendusu
Entukura_14_Phase1_R6C15,Entukura,female,2019-02-08,Sendusu
Entukura_14_Phase1_R6C16,Entukura,female,2019-02-12,Sendusu
Entukura_14_Phase1_R5C5,Entukura,female,2019-02-08,Sendusu
Entukura_14_Phase1_R5C6,Entukura,female,2019-02-11,Sendusu
Entukura_14_Phase1_R5C2,Entukura,female,2019-02-11,Sendusu
Nakyetengu_14_Phase1_R8C3,IITA-Nakyetengu,female,2019-02-11,Sendusu
Nfuuka_14_Phase1_R14C6,Nfuuka,female,2019-02-08,Sendusu
Nfuuka_14_Phase1_R15C3,Nfuuka,female,2019-02-08,Sendusu
Enzirabahima_14_Phase1_R26C13,ITC1354,female,2019-02-06,Sendusu
Enzirabahima_14_Phase1_R25C8,ITC1354,female,2019-02-06,Sendusu
Enzirabahima_14_Phase1_R25C3,ITC1354,female,2019-02-11,Sendusu
Enzirabahima_14_Phase2_R26C2,ITC1354,female,2019-02-08,Sendusu
Nfuuka_14_Phase1_R13C17,Nfuuka,female,2019-02-11,Sendusu
Nfuuka_14_Phase2_R15C5,Nfuuka,female,2019-02-09,Sendusu
