FlowerID,Genotype,Plant_Sex,Flowering_Date,Location
Nabio1117-R-1--C-57,Nabio1117,female,2020-10-04,Kawanda
401K-1-r6-c27,401K-1,female,2020-10-04,Kawanda
401K-1-r3-c27,401K-1,female,2020-10-04,Kawanda
660K-1-R-5--C-36,660K-1,female,2020-10-04,Kawanda
Namande-R-5-C-1,Namande,female,2020-10-05,Kawanda
Namande-r4-c47,Namande,female,2020-09-22,Kawanda
376K-1-R-4--C-43,376K-1,female,2020-10-06,Kawanda
1747K-1-r6-c4,1747K-1,female,2020-10-06,Kawanda
1747K-1-r4-c3,1747K-1,female,2020-10-06,Kawanda
401K-1-R-6--C-63,401K-1,female,2020-10-06,Kawanda
Kabucuragye-R-6-C-17,Kabucuragye,female,2020-10-07,Kawanda
IITA-Nakyetengu-R-7-C-27,IITA-Nakyetengu,female,2020-10-07,Kawanda
Namande-R-4-C-4,Namande,female,2020-10-07,Kawanda
376K-1-R-6--C-9,376K-1,female,2020-10-07,Kawanda
401K-1-R-8--C-62,401K-1,female,2020-10-08,Kawanda
401K-1-R-6--C-40,401K-1,female,2020-10-08,Kawanda
enz-r2-c11,ITC1354-Enzirabahima,female,2020-10-08,Kawanda
376K-1-R-9--C-14,376K-1,female,2020-10-08,Kawanda
660K-1-R-1--C-9,660K-1,female,2020-10-08,Kawanda
Nakawere-r5-c39,Nakawere,female,2020-10-09,Kawanda
246K-1-R-2--C-48,246K-1,female,2020-10-09,Kawanda
Namande-R-1-C-3,Namande,female,2020-10-09,Kawanda
Namande-R-1-C-3,Namande,female,2020-10-10,Kawanda
IITA-Nakyetengu-R-2-C-26,IITA-Nakyetengu,female,2020-10-10,Kawanda
Nakawere-R-8-C-14,Nakawere,female,2020-10-10,Kawanda
376K-1-R-9--C-8,376K-1,female,2020-10-11,Kawanda
1411K-1-R-8--C-59,1411K-1,female,2020-10-11,Kawanda
401K-1-R-6--C-38,401K-1,female,2020-10-11,Kawanda
660K-1-R-1--C-37,660K-1,female,2020-10-11,Kawanda
1411K-1-R-3--C-58,1411K-1,female,2020-10-12,Kawanda
376K-1-R-6--C-42,376K-1,female,2020-10-12,Kawanda
Enzirabahima-r3-c50,ITC1354-Enzirabahima,female,2020-10-13,Kawanda
Nakawere-R-3-C-12,Nakawere,female,2020-10-13,Kawanda
IITA-Nakyetengu-r5-c32,IITA-Nakyetengu,female,2020-10-14,Kawanda
enz-r6-c7,ITC1354-Enzirabahima,female,2020-10-14,Kawanda
Kabucuragye-R-5-C-16,Kabucuragye,female,2020-10-14,Kawanda
1747K-1-r3-c2,1747K-1,female,2020-10-15,Kawanda
1747K-1-r3-c3,1747K-1,female,2020-10-15,Kawanda
1411K-1-R-4--C-59,1411K-1,female,2020-10-15,Kawanda
199K-3-R-2--C-53,199K-3,female,2020-10-16,Kawanda
Nakawere-R-4-C-8,Nakawere,female,2020-10-17,Kawanda
Nakawere-R-4-C-12,Nakawere,female,2020-10-17,Kawanda
Namande-r3-c46,Namande,female,2020-10-18,Kawanda
246K-1-R-4--C-54,246K-1,female,2020-10-19,Kawanda
Namande-R-6-C-4,Namande,female,2020-10-19,Kawanda
Namande-R-3-C-3,Namande,female,2020-10-19,Kawanda
IITA-Nakyetengu-R-7-C-23,IITA-Nakyetengu,female,2020-10-19,Kawanda
Namande-R-5-C-2,Namande,female,2020-10-20,Kawanda
660K-1-R-1--C-13,660K-1,female,2020-10-20,Kawanda
917K-1-R-2--C-3,917K-1,female,2020-10-20,Kawanda
Nabio1117-R-2--C-56,Nabio1117,female,2020-10-20,Kawanda
199K-3-R-7--C-52,199K-3,female,2020-10-20,Kawanda
1411K-1-R-6--C-44,1411K-1,female,2020-10-20,Kawanda
IITA-Nakyetengu-R-2-C-23,IITA-Nakyetengu,female,2020-10-21,Kawanda
Kabucuragye-R-1-C-21,Kabucuragye,female,2020-10-21,Kawanda
enz-r4-c9,ITC1354-Enzirabahima,female,2020-10-21,Kawanda
376K-1-R-3--C-42,376K-1,female,2020-10-21,Kawanda
Nakawere-R-1-C-12,Nakawere,female,2020-10-22,Kawanda
246K-1-R-5--C-54,246K-1,female,2020-10-22,Kawanda
1747K-1-r1-c4,1747K-1,female,2020-10-22,Kawanda
222K-1-r3-c9,222K-1,female,2020-10-22,Kawanda
222K-1-r6-c10,222K-1,female,2020-10-22,Kawanda
Kabucuragye-R-3-C-16,Kabucuragye,female,2020-10-23,Kawanda
917K-1-R-3--C-7,917K-1,female,2020-10-23,Kawanda
401K-1-R-6--C-4,401K-1,female,2020-10-23,Kawanda
Nabio1117-R-7--C-56,Nabio1117,female,2020-10-23,Kawanda
Nakawere-R-1-C-12,Nakawere,female,2020-10-24,Kawanda
enz-r3-c13,ITC1354-Enzirabahima,female,2020-10-25,Kawanda
Nabio1117-R-7--C-56,Nabio1117,female,2020-10-24,Kawanda
401K-1-r6-c26,401K-1,male,2020-10-25,Kawanda
Nakawere-R-1-C-12,Nakawere,female,2020-10-26,Kawanda
Nabio1117-R-5--C-57,Nabio1117,female,2020-10-26,Kawanda
401K-1-R-1--C-38,401K-1,female,2020-10-27,Kawanda
Namande-R-4-C-3,Namande,female,2020-10-28,Kawanda
IITA-Nakyetengu-R-3-C-26,IITA-Nakyetengu,female,2020-10-28,Kawanda
Namande-R-2-C-2,Namande,female,2020-10-29,Kawanda
246K-1-R-8--C-54,246K-1,female,2020-10-30,Kawanda
660K-1-R-1--C-14,660K-1,female,2020-10-30,Kawanda
660K-1-R-3--C-9,660K-1,female,2020-10-31,Kawanda
917K-2-R-4--C-50,917K-2,female,2020-11-01,Kawanda
1201K-r1-c13,1201K-1,female,2020-11-01,Kawanda
enz-r6-c3,ITC1354-Enzirabahima,female,2020-11-01,Kawanda
enz-r3-c12,ITC1354-Enzirabahima,female,2020-11-01,Kawanda
Nakawere-r1-c37,Nakawere,female,2020-11-01,Kawanda
Namande-R-2-C-2,Namande,female,2020-10-31,Kawanda
1747K-1-r1-c2,1747K-1,female,2020-11-02,Kawanda
660K-1-R-3--C-10,660K-1,female,2020-11-02,Kawanda
401K-1-R-7--C-4,401K-1,female,2020-11-02,Kawanda
enz-r7-c2,ITC1354-Enzirabahima,female,2020-11-03,Kawanda
401K-1-r5-c25,401K-1,female,2020-11-03,Kawanda
1411K-1-R-8--C-58,1411K-1,female,2020-11-03,Kawanda
